"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"FF","2022-09-27","96.5","-1.76","6.19","Harris II, Michael",671739,607179,,"ball",,,,,11,"Braves challenged (play at 1st), call on the field was overturned: Michael Harris II singles on a ground ball to third baseman Ildemaro Vargas.","R","L","R","WSH","ATL","B",,,2,2,2022,"-0.79","1.43","-0.3","4.48",,,,2,6,"Top",,,,,668663,,,5.700317311222117,-140.3815273316574,-2.217076028824536,-11.702679368647843,31.993297886329366,-13.035539217622718,"3.56","1.58",,,,"96.6",2063,"6.4",662489,607179,668663,608841,514917,545121,682928,669743,645302,657041,"54.12",,,,,,,,45,5,"4-Seam Fastball",2,4,4,2,4,2,4,2,"Standard","Standard",209,"0","0.033"
"FF","2022-09-27","96.7","-1.77","6.17","Harris II, Michael",671739,607179,,"foul",,,,,1,"Braves challenged (play at 1st), call on the field was overturned: Michael Harris II singles on a ground ball to third baseman Ildemaro Vargas.","R","L","R","WSH","ATL","S",,,2,1,2022,"-1.11","1.49","-0.73","3.43",,,,2,6,"Top",,,,,668663,,,5.285140338640808,-140.62034844167368,-5.115633781315453,-15.884634545964065,33.02137246004521,-11.517847514844762,"3.51","1.53",224,"76.2",46,"96.4",2227,"6.2",662489,607179,668663,608841,514917,545121,682928,669743,645302,657041,"54.26",,,,,,,,45,4,"4-Seam Fastball",2,4,4,2,4,2,4,2,"Standard","Standard",209,"0","-0.031"
"CH","2022-09-27","87.7","-1.85","6.1","Harris II, Michael",671739,607179,,"ball",,,,,14,"Braves challenged (play at 1st), call on the field was overturned: Michael Harris II singles on a ground ball to third baseman Ildemaro Vargas.","R","L","R","WSH","ATL","B",,,1,1,2022,"-1.32","0.98","0.89","0.84",,,,2,6,"Top",,,,,668663,,,9.404184457586982,-127.13747048602569,-8.60993581429121,-16.258780736247836,27.376655242121643,-19.894207221359252,"3.65","1.65",,,,"88",1334,"6.8",662489,607179,668663,608841,514917,545121,682928,669743,645302,657041,"53.7",,,,,,,,45,3,"Changeup",2,4,4,2,4,2,4,2,"Strategic","Standard",234,"0","0.021"
"FF","2022-09-27","97.2","-1.74","6.15","Harris II, Michael",671739,607179,,"ball",,,,,12,"Braves challenged (play at 1st), call on the field was overturned: Michael Harris II singles on a ground ball to third baseman Ildemaro Vargas.","R","L","R","WSH","ATL","B",,,0,1,2022,"-0.61","1.69","0.92","3.11",,,,2,6,"Top",,,,,668663,,,8.496677173467683,-141.12374742464627,-6.38939596205549,-10.22599899165585,35.376952481650875,-8.372593523166927,"3.62","1.62",,,,"96.6",2229,"6.3",662489,607179,668663,608841,514917,545121,682928,669743,645302,657041,"54.21",,,,,,,,45,2,"4-Seam Fastball",2,4,4,2,4,2,4,2,"Standard","Standard",210,"0","0.011"
"FF","2022-09-27","97.5","-1.83","6.13","Harris II, Michael",671739,607179,,"swinging_strike",,,,,3,"Braves challenged (play at 1st), call on the field was overturned: Michael Harris II singles on a ground ball to third baseman Ildemaro Vargas.","R","L","R","WSH","ATL","S",,,0,0,2022,"-0.68","1.6","0.53","3.25",,,,2,6,"Top",,,,,668663,,,7.91109602469576,-141.53776115784504,-5.820349259106383,-11.067918186666766,37.53170779616404,-9.612825332034754,"3.51","1.53",,,,"97.1",2244,"6.6",662489,607179,668663,608841,514917,545121,682928,669743,645302,657041,"53.95",,,,,,,,45,1,"4-Seam Fastball",2,4,4,2,4,2,4,2,"Standard","Standard",211,"0","-0.017"
"SI","2022-09-27","93","-2.34","5.32","Harris II, Michael",671739,541640,"field_error","hit_into_play",,,,,2,"Michael Harris II reaches on a throwing error by shortstop CJ Abrams.","R","L","R","WSH","ATL","X",6,"ground_ball",2,1,2022,"-1.37","0.72","-0.03","2.93",,,,1,8,"Top",121.23,151.1,,,668663,,,8.941493508479773,-135.21683286719684,-1.9493676710442494,-18.78971574692587,28.343427486749523,-23.122142185560836,"3.51","1.53",31,"107.1",-4,"93.1",2252,"6.3",662489,541640,668663,608841,514917,545121,682928,669743,645302,657041,"54.2",0.411,0.373,"0.9",1,0,0,2,60,4,"Sinker",2,7,7,2,7,2,7,2,"Standard","Standard",221,"-0.002","0.26"
"FC","2022-09-27","90.5","-2.23","5.33","Harris II, Michael",671739,541640,,"called_strike",,,,,7,"Michael Harris II reaches on a throwing error by shortstop CJ Abrams.","R","L","R","WSH","ATL","S",,,2,0,2022,"-0.16","0.8","-0.63","1.82",,,,1,8,"Top",,,,,668663,,,4.329508445831775,-131.6720207351376,-4.513497344963699,-2.8023411530674776,28.962950903373503,-22.16561070572694,"3.58","1.61",,,,"90.5",2387,"6.4",662489,541640,668663,608841,514917,545121,682928,669743,645302,657041,"54.15",,,,,,,,60,3,"Cutter",2,7,7,2,7,2,7,2,"Standard","Standard",200,"0","-0.042"
"CU","2022-09-27","81.9","-2.22","5.4","Harris II, Michael",671739,541640,,"ball",,,,,14,"Michael Harris II reaches on a throwing error by shortstop CJ Abrams.","R","L","R","WSH","ATL","B",,,1,0,2022,"0.62","-0.21","1.56","0.4",,,,1,8,"Top",,,,,668663,,,7.329514720510084,-119.0832766273718,-4.306730834215624,4.531082259421711,22.289089955309112,-33.59419102581201,"3.55","1.61",,,,"81.9",2698,"6.3",662489,541640,668663,608841,514917,545121,682928,669743,645302,657041,"54.21",,,,,,,,60,2,"Curveball",2,7,7,2,7,2,7,2,"Standard","Standard",63,"0","0.044"
"SI","2022-09-27","93.8","-2.26","5.26","Harris II, Michael",671739,541640,,"ball",,,,,14,"Michael Harris II reaches on a throwing error by shortstop CJ Abrams.","R","L","R","WSH","ATL","B",,,0,0,2022,"-1.64","0.56","0.92","0.84",,,,1,8,"Top",,,,,668663,,,11.807557262144138,-135.94092782638705,-6.869164014801601,-22.970805993117107,30.42940686638412,-23.81026841654452,"3.63","1.64",,,,"93.3",2360,"6.3",662489,541640,668663,608841,514917,545121,682928,669743,645302,657041,"54.21",,,,,,,,60,1,"Sinker",2,7,7,2,7,2,7,2,"Standard","Standard",222,"0","0.023"
"KC","2022-09-26","82.2","-2.53","5.84","Harris II, Michael",671739,676265,"single","hit_into_play",,,,,8,"Michael Harris II singles on a sharp ground ball to center fielder Victor Robles.   Austin Riley to 3rd.","R","L","R","WSH","ATL","X",8,"ground_ball",2,1,2022,"0.37","-0.69","-0.08","1.87",,,663586,0,6,"Top",143.94,90.05,,,656180,,,4.823523902090889,-119.67971621190033,-1.1166086236497161,2.5565162298456054,24.15611176931098,-38.76575870071964,"3.51","1.53",5,"110.1",-19,"81.7",2424,"6",662460,676265,656180,608841,671277,545121,682928,514917,645302,657041,"54.5",0.174,0.157,"0.9",1,1,0,2,39,4,"Knuckle Curve",0,3,3,0,3,0,3,0,"Standard","Standard",22,"-0.039","0.601"
"KC","2022-09-26","81.8","-2.56","5.79","Harris II, Michael",671739,676265,,"ball",,,,,11,"Michael Harris II singles on a sharp ground ball to center fielder Victor Robles.   Austin Riley to 3rd.","R","L","R","WSH","ATL","B",,,1,1,2022,"0.48","-0.6","-1.41","3.86",,,663586,0,6,"Top",,,,,656180,,,1.650429879169824,-119.01743476382254,3.351810300906276,4.211066609463875,23.432528995407882,-38.73474080004522,"3.57","1.65",,,,"81.1",2373,"5.9",662460,676265,656180,608841,671277,545121,682928,514917,645302,657041,"54.6",,,,,,,,39,3,"Knuckle Curve",0,3,3,0,3,0,3,0,"Standard","Standard",31,"0","0.096"
"FF","2022-09-26","90.3","-2.59","5.46","Harris II, Michael",671739,676265,,"foul",,,,,11,"Michael Harris II singles on a sharp ground ball to center fielder Victor Robles.   Austin Riley to 3rd.","R","L","R","WSH","ATL","S",,,1,0,2022,"-1.09","1.28","-0.86","3.29",,,663586,0,6,"Top",,,,,656180,,,6.612939061929434,-131.2187415120653,-2.094458436795211,-13.994507543702186,31.347443905979134,-17.22831410265876,"3.51","1.53",200,"72.5",50,"89.7",2201,"6.3",662460,676265,656180,608841,671277,545121,682928,514917,645302,657041,"54.2",,,,,,,,39,2,"4-Seam Fastball",0,3,3,0,3,0,3,0,"Standard","Standard",221,"0","-0.074"
"KC","2022-09-26","82.2","-2.13","5.91","Harris II, Michael",671739,676265,,"ball",,,,,1,"Michael Harris II singles on a sharp ground ball to center fielder Victor Robles.   Austin Riley to 3rd.","R","L","R","WSH","ATL","B",,,0,0,2022,"0.45","-0.54","-0.3","3.34",,,663586,0,6,"Top",,,,,656180,,,3.2700740357751696,-119.71763967746925,1.7582784524723936,3.642778101484069,23.731769269942276,-37.96349398422604,"3.58","1.63",,,,"81.8",2458,"6",662460,676265,656180,608841,671277,545121,682928,514917,645302,657041,"54.5",,,,,,,,39,1,"Knuckle Curve",0,3,3,0,3,0,3,0,"Standard","Standard",29,"0","0.059"
"FF","2022-09-26","90.6","-2.44","5.43","Harris II, Michael",671739,676265,"strikeout","swinging_strike",,,,,12,"Michael Harris II strikes out swinging.","R","L","R","WSH","ATL","S",2,,1,2,2022,"-0.93","1.36","0.49","3.92",,,663586,1,4,"Top",,,,,656180,,,9.299056786235472,-131.65146018420143,-0.7301172698046415,-12.779976365762781,27.277440677567775,-16.39621135134603,"3.51","1.53",,,,"90.6",2170,"6.3",662460,676265,656180,608841,671277,545121,682928,514917,645302,657041,"54.19",,,"0",1,0,0,,23,5,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Strategic","Standard",220,"0.034","-0.209"
"FF","2022-09-26","91.4","-2.52","5.46","Harris II, Michael",671739,676265,,"foul",,,,,11,"Michael Harris II strikes out swinging.","R","L","R","WSH","ATL","S",,,1,2,2022,"-1.05","1.3","-0.35","3.65",,,663586,1,4,"Top",,,,,656180,,,7.698609283831363,-132.865826995863,-1.4466168359129532,-14.098843976877534,29.35393872705461,-16.7111814036325,"3.51","1.53",,,,"91",2241,"6.2",662460,676265,656180,608841,671277,545121,682928,514917,645302,657041,"54.33",,,,,,,,23,4,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Strategic","Standard",220,"0","0"
"FF","2022-09-26","91.2","-2.47","5.56","Harris II, Michael",671739,676265,,"swinging_strike",,,,,12,"Michael Harris II strikes out swinging.","R","L","R","WSH","ATL","S",,,1,1,2022,"-1.07","1.48","0.35","3.85",,,663586,1,4,"Top",,,,,656180,,,9.375042841113789,-132.46072783497925,-1.5313086790203185,-14.64608306643506,30.400542153991765,-14.733028316255693,"3.51","1.53",,,,"90.7",2306,"6.3",662460,676265,656180,608841,671277,545121,682928,514917,645302,657041,"54.22",,,,,,,,23,3,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Strategic","Standard",221,"0","-0.07"
"KC","2022-09-26","84.1","-2.47","5.82","Harris II, Michael",671739,676265,,"blocked_ball",,,,,13,"Michael Harris II strikes out swinging.","R","L","R","WSH","ATL","B",,,0,1,2022,"0.39","-0.33","-0.12","0.63",,,663586,1,4,"Top",,,,,656180,,,4.646543705701156,-122.37842161767324,-4.919312959219285,2.916969511221639,26.152587105099247,-34.68373671324105,"3.57","1.62",,,,"83.3",2569,"5.9",662460,676265,656180,608841,671277,545121,682928,514917,645302,657041,"54.56",,,,,,,,23,2,"Knuckle Curve",0,0,0,0,0,0,0,0,"Strategic","Standard",3,"0","0.031"
"SL","2022-09-26","86.6","-2.37","5.84","Harris II, Michael",671739,676265,,"called_strike",,,,,9,"Michael Harris II strikes out swinging.","R","L","R","WSH","ATL","S",,,0,0,2022,"-1.25","0.94","0.3","2",,,663586,1,4,"Top",,,,,656180,,,8.884048802641036,-125.80683882077837,-4.843606472286546,-15.099899578729636,26.208614390883316,-21.378951472449984,"3.56","1.61",,,,"86.1",2304,"6.2",662460,676265,656180,608841,671277,545121,682928,514917,645302,657041,"54.35",,,,,,,,23,1,"Slider",0,0,0,0,0,0,0,0,"Standard","Standard",229,"0","-0.048"
"FF","2022-09-26","92.8","-2.54","5.58","Harris II, Michael",671739,676265,"strikeout","swinging_strike",,,,,2,"Michael Harris II strikes out swinging.","R","L","R","WSH","ATL","S",2,,2,2,2022,"-1.15","1.48","0.05","3.46",,,,0,2,"Top",,,,,656180,,,9.139747397870096,-134.81145206953852,-2.8388115884965766,-16.085130617038423,29.768591580656228,-13.714848979208368,"3.51","1.53",,,,"92.6",2411,"6.3",662460,676265,656180,608841,671277,545121,682928,514917,645302,657041,"54.22",,,"0",1,0,0,,7,5,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Strategic","Standard",221,"0.023","-0.195"
"SL","2022-09-26","86.7","-2.5","5.94","Harris II, Michael",671739,676265,,"called_strike",,,,,8,"Michael Harris II strikes out swinging.","R","L","R","WSH","ATL","S",,,2,1,2022,"-1.32","1.01","-0.05","1.99",,,,0,2,"Top",,,,,656180,,,8.477566288567338,-125.95299477849557,-5.28123637565569,-15.712199990031511,24.585949936150485,-20.527913189506044,"3.51","1.6",,,,"86.2",2208,"6",662460,676265,656180,608841,671277,545121,682928,514917,645302,657041,"54.53",,,,,,,,7,4,"Slider",0,0,0,0,0,0,0,0,"Standard","Standard",225,"0","-0.066"
"FF","2022-09-26","97.6","-1.8","6.11","Harris II, Michael",671739,607179,"grounded_into_double_play","hit_into_play",,,,,9,"Michael Harris II grounds into a double play, first baseman Joey Meneses to shortstop CJ Abrams to first baseman Joey Meneses.   Austin Riley out at 2nd.    Michael Harris II out at 1st.","R","L","R","WSH","ATL","X",3,"ground_ball",1,0,2022,"-0.4","1.49","0.82","1.86",,,663586,1,7,"Top",149.65,170.89,,,656180,,,7.992569787461962,-141.79650766142763,-9.428383202368966,-7.1532399008118706,29.60410766554042,-10.038605391231131,"3.51","1.53",7,"92.8",-14,"98.4",2195,"6.6",662460,607179,656180,608841,671277,545121,682928,514917,645302,657041,"53.86",0.163,0.15,"0",1,0,0,2,53,2,"4-Seam Fastball",0,8,8,0,8,0,8,0,"Standard","Standard",207,"0.001","-0.412"
"SL","2022-09-26","86.3","-2.54","5.92","Harris II, Michael",671739,676265,,"called_strike",,,,,7,"Michael Harris II strikes out swinging.","R","L","R","WSH","ATL","S",,,2,0,2022,"-1.51","0.95","-0.46","1.55",,,,0,2,"Top",,,,,656180,,,7.932619415978716,-125.26295023936599,-6.040330569750642,-17.555869411058747,25.496124714686797,-21.060085616891453,"3.56","1.62",,,,"85.5",2204,"5.9",662460,676265,656180,608841,671277,545121,682928,514917,645302,657041,"54.56",,,,,,,,7,3,"Slider",0,0,0,0,0,0,0,0,"Standard","Standard",222,"0","-0.056"
"CH","2022-09-26","87.7","-1.84","6.12","Harris II, Michael",671739,607179,,"ball",,,,,14,"Michael Harris II grounds into a double play, first baseman Joey Meneses to shortstop CJ Abrams to first baseman Joey Meneses.   Austin Riley out at 2nd.    Michael Harris II out at 1st.","R","L","R","WSH","ATL","B",,,0,0,2022,"-0.98","0.61","1.12","1.5",,,663586,1,7,"Top",,,,,656180,,,9.24004600542164,-127.37214015267655,-6.392365765439947,-12.493124196003071,24.13138580762339,-24.394318172885956,"3.6","1.62",,,,"88.6",1075,"6.8",662460,607179,656180,608841,671277,545121,682928,514917,645302,657041,"53.73",,,,,,,,53,1,"Changeup",0,8,8,0,8,0,8,0,"Standard","Standard",245,"0","0.042"
"SL","2022-09-26","86.4","-2.6","5.81","Harris II, Michael",671739,676265,,"ball",,,,,13,"Michael Harris II strikes out swinging.","R","L","R","WSH","ATL","B",,,1,0,2022,"-1.2","0.97","-0.86","1.26",,,,0,2,"Top",,,,,656180,,,6.579682003229321,-125.53323145986393,-6.561635699598073,-14.039470733840965,25.323664376073353,-20.75828579828199,"3.55","1.64",,,,"86.1",2203,"6.2",662460,676265,656180,608841,671277,545121,682928,514917,645302,657041,"54.32",,,,,,,,7,2,"Slider",0,0,0,0,0,0,0,0,"Standard","Standard",225,"0","0.063"
"FF","2022-09-26","91","-2.72","5.45","Harris II, Michael",671739,676265,,"ball",,,,,13,"Michael Harris II strikes out swinging.","R","L","R","WSH","ATL","B",,,0,0,2022,"-1.25","1.52","-1.1","2.07",,,,0,2,"Top",,,,,656180,,,6.7594428320284905,-132.247447673995,-5.8367860189502245,-16.1251488282071,27.731660996460292,-13.29561744161223,"3.56","1.67",,,,"91.2",2277,"6.4",662460,676265,656180,608841,671277,545121,682928,514917,645302,657041,"54.07",,,,,,,,7,1,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard",221,"0","0.033"
"CH","2022-09-25","86.9","-2.34","6.21","Harris II, Michael",671739,502043,"field_out","hit_into_play",,,,,13,"Michael Harris II grounds out, second baseman Jean Segura to first baseman Rhys Hoskins.","R","L","R","PHI","ATL","X",4,"ground_ball",0,0,2022,"-1.42","-0.03","-1.03","2.22",,,,2,4,"Top",144.13,146.84,,,596117,,,6.103252050133476,-126.35056465879755,-3.3063462843600706,-16.444663090235657,26.242287084902365,-31.991474807744048,"3.55","1.53",5,"76.1",-24,"87.3",1613,"6.7",661585,502043,596117,656555,516416,664761,681082,656941,669016,663837,"53.84",0.023,0.021,"0",1,0,0,2,35,1,"Changeup",4,5,5,4,5,4,5,4,"Standard","Standard",226,"0.011","-0.099"
"SI","2022-09-25","92","-2.37","6.24","Harris II, Michael",671739,502043,"field_out","hit_into_play",,,,,8,"Michael Harris II grounds out, pitcher Kyle Gibson to first baseman Rhys Hoskins.","R","L","R","PHI","ATL","X",1,"ground_ball",2,1,2022,"-1.04","0.34","-0.21","1.95",,,621020,2,2,"Top",139.39,177.57,,,596117,,,7.836350662693699,-133.75172307740146,-5.873721121333629,-14.142092758276156,26.522197562779205,-26.999937555386737,"3.55","1.53",1,"64.7",-53,"93.3",2148,"6.9",661585,502043,596117,656555,516416,664761,681082,656941,669016,663837,"53.57",0.254,0.251,"0",1,0,0,2,18,4,"Sinker",3,3,3,3,3,3,3,3,"Standard","Standard",223,"0.024","-0.238"
"SI","2022-09-25","93.2","-2.07","6.46","Harris II, Michael",671739,502043,,"ball",,,,,11,"Michael Harris II grounds out, pitcher Kyle Gibson to first baseman Rhys Hoskins.","R","L","R","PHI","ATL","B",,,1,1,2022,"-1.1","0.76","-0.99","3.44",,,621020,2,2,"Top",,,,,596117,,,5.195247214258933,-135.71378277503476,-3.7656774240411277,-14.708233310027127,26.73426470676077,-22.118837196324144,"3.55","1.55",,,,"93.9",2148,"6.4",661585,502043,596117,656555,516416,664761,681082,656941,669016,663837,"54.06",,,,,,,,18,3,"Sinker",3,3,3,3,3,3,3,3,"Standard","Standard",213,"0","0.029"
"CH","2022-09-25","84.5","-2.45","6.24","Harris II, Michael",671739,502043,,"called_strike",,,,,7,"Michael Harris II grounds out, pitcher Kyle Gibson to first baseman Rhys Hoskins.","R","L","R","PHI","ATL","S",,,1,0,2022,"-1.15","0.22","-0.72","2.01",,,621020,2,2,"Top",,,,,596117,,,6.358444667342508,-122.92400068230741,-3.9991275463969798,-12.869238223451354,22.39330151635977,-29.40977883847582,"3.55","1.59",,,,"85.4",1682,"6.7",661585,502043,596117,656555,516416,664761,681082,656941,669016,663837,"53.82",,,,,,,,18,2,"Changeup",3,3,3,3,3,3,3,3,"Standard","Standard",227,"0","-0.041"
"CH","2022-09-25","84.7","-2.49","6.3","Harris II, Michael",671739,502043,,"ball",,,,,11,"Michael Harris II grounds out, pitcher Kyle Gibson to first baseman Rhys Hoskins.","R","L","R","PHI","ATL","B",,,0,0,2022,"-1.37","0.25","-1.71","2.76",,,621020,2,2,"Top",,,,,596117,,,4.600469249372157,-123.26232489473301,-2.4253350957294693,-14.931249552646934,24.88855705015395,-29.34290375800229,"3.55","1.57",,,,"85.4",1627,"6.8",661585,502043,596117,656555,516416,664761,681082,656941,669016,663837,"53.73",,,,,,,,18,1,"Changeup",3,3,3,3,3,3,3,3,"Standard","Standard",228,"0","0.032"
"CH","2022-09-25","88.9","-1.66","5.52","Harris II, Michael",671739,571479,"single","hit_into_play",,,,,13,"Michael Harris II singles on a line drive to right fielder Dalton Guthrie.   Ronald Acuna Jr.  scores.    Dansby Swanson to 2nd.","R","L","R","PHI","ATL","X",9,"line_drive",1,2,2022,"-1.33","0.53","-0.69","1.24",660670,,621020,2,11,"Top",163.83,85.6,,,592663,,,5.159185895960854,-129.31337630884266,-5.504299517685407,-16.031159823575322,27.6170404686523,-25.312320686994134,"3.55","1.53",243,"94.9",12,"88.4",1539,"6.1",661585,571479,592663,664761,516416,622168,681082,663837,669016,656495,"54.43",0.894,0.873,"0.9",1,1,0,4,90,6,"Changeup",6,7,7,6,8,6,8,6,"Standard","Standard",236,"-0.169","1.142"
"SL","2022-09-25","85.6","-1.77","5.5","Harris II, Michael",671739,571479,,"foul",,,,,13,"Michael Harris II singles on a line drive to right fielder Dalton Guthrie.   Ronald Acuna Jr.  scores.    Dansby Swanson to 2nd.","R","L","R","PHI","ATL","S",,,1,2,2022,"0.26","0.33","-1.23","1.88",660670,,621020,2,11,"Top",,,,,592663,,,0.7325071026559143,-124.7336363083326,-2.9869915756841934,2.5812071595483324,22.823450880111896,-28.33847892464719,"3.55","1.53",189,"64.9",30,"85.2",2279,"5.8",661585,571479,592663,664761,516416,622168,681082,663837,669016,656495,"54.73",,,,,,,,90,5,"Slider",6,7,7,6,7,6,7,6,"Standard","Standard",142,"0","0"
"FF","2022-09-25","93.5","-1.66","5.55","Harris II, Michael",671739,571479,,"foul",,,,,11,"Michael Harris II singles on a line drive to right fielder Dalton Guthrie.   Ronald Acuna Jr.  scores.    Dansby Swanson to 2nd.","R","L","R","PHI","ATL","S",,,1,2,2022,"-1.14","1.01","-1.09","3.79",660670,,621020,2,11,"Top",,,,,592663,,,3.931711208248484,-136.07076971225098,-0.9793442178898375,-15.035750168857051,32.311661922438205,-19.72445206193105,"3.55","1.53",239,"78.1",47,"92.4",2251,"5.8",661585,571479,592663,664761,516416,622168,681082,663837,669016,656495,"54.69",,,,,,,,90,4,"4-Seam Fastball",6,7,7,6,7,6,7,6,"Standard","Standard",222,"0","0"
"CH","2022-09-25","89.6","-1.7","5.47","Harris II, Michael",671739,571479,,"blocked_ball",,,,,14,"Michael Harris II singles on a line drive to right fielder Dalton Guthrie.   Ronald Acuna Jr.  scores.    Dansby Swanson to 2nd.","R","L","R","PHI","ATL","B",,,0,2,2022,"-1.42","0.47","1.02","0.66",660670,,621020,2,11,"Top",,,,,592663,,,9.647735919012444,-130.02756063019055,-6.8346025150368055,-18.17488889063062,27.089692937884497,-25.49111945557369,"3.55","1.55",,,,"89",1579,"6",661585,571479,592663,664761,516416,622168,681082,663837,669016,656495,"54.47",,,,,,,,90,3,"Changeup",6,7,7,6,7,6,7,6,"Standard","Standard",242,"0","0.033"
"CH","2022-09-25","89.1","-1.67","5.5","Harris II, Michael",671739,571479,,"foul",,,,,11,"Michael Harris II singles on a line drive to right fielder Dalton Guthrie.   Ronald Acuna Jr.  scores.    Dansby Swanson to 2nd.","R","L","R","PHI","ATL","S",,,0,1,2022,"-1.29","0.39","-1.3","2.66",660670,,621020,2,11,"Top",,,,,592663,,,3.599117156296093,-129.7849953194198,-1.7517687934460926,-15.352555172250739,28.1513041210199,-27.562266899357482,"3.55","1.53",15,"67.3",-8,"88.5",1537,"5.9",661585,571479,592663,664761,516416,622168,681082,663837,669016,656495,"54.56",,,,,,,,90,2,"Changeup",6,7,7,6,7,6,7,6,"Standard","Standard",239,"0","-0.09"
"FF","2022-09-25","96.7","-2.06","5.58","Harris II, Michael",671739,622554,"walk","ball",,,,,11,"Michael Harris II walks.","R","L","R","PHI","ATL","B",,,3,1,2022,"-0.46","1.3","-0.55","3.85",,,,1,9,"Top",,,,,596117,,,5.065614336596391,-140.82209378324754,-2.00513226751435,-7.28199595863323,32.1163707881385,-14.661909764604925,"3.55","1.61",,,,"96.5",2288,"6.1",661585,622554,596117,656555,516416,664761,681082,656941,669016,663837,"54.39",,,"0.7",1,0,0,,73,5,"4-Seam Fastball",6,6,6,6,6,6,6,6,"Standard","Standard",215,"-0.06","0.163"
"FF","2022-09-25","94.5","-1.64","5.51","Harris II, Michael",671739,571479,,"called_strike",,,,,5,"Michael Harris II singles on a line drive to right fielder Dalton Guthrie.   Ronald Acuna Jr.  scores.    Dansby Swanson to 2nd.","R","L","R","PHI","ATL","S",,,0,0,2022,"-0.62","1.36","0.01","2.85",660670,,621020,2,11,"Top",,,,,592663,,,5.653773001038168,-137.4823089507239,-4.227227525070386,-9.216302359741206,33.63734102859997,-14.203305259145603,"3.51","1.67",,,,"93.6",2195,"6",661585,571479,592663,664761,516416,622168,681082,663837,669016,656495,"54.52",,,,,,,,90,1,"4-Seam Fastball",6,7,7,6,7,6,7,6,"Standard","Standard",221,"0","-0.078"
"FF","2022-09-25","98.2","-2.17","5.57","Harris II, Michael",671739,622554,,"called_strike",,,,,5,"Michael Harris II walks.","R","L","R","PHI","ATL","S",,,3,0,2022,"-0.62","1.43","-0.17","2.67",,,,1,9,"Top",,,,,596117,,,6.833520107253652,-142.85970536057022,-5.654271824929685,-10.025533912553103,33.46740126534642,-11.529204075814127,"3.49","1.59",,,,"98",2314,"6.3",661585,622554,596117,656555,516416,664761,681082,656941,669016,663837,"54.24",,,,,,,,73,4,"4-Seam Fastball",6,6,6,6,6,6,6,6,"Standard","Standard",221,"0","-0.052"
"SI","2022-09-25","93.9","-1.97","6.48","Harris II, Michael",671739,502043,"walk","ball",,,,,14,"Michael Harris II walks.","R","L","R","PHI","ATL","B",,,3,1,2022,"-1.53","0.46","0.38","0.97",,,,1,1,"Top",,,,,596117,,,9.505788443214346,-136.21949580073914,-9.659468201192663,-21.033165594690526,27.711856701227838,-24.505025274249547,"3.51","1.61",,,,"94.8",2101,"6.8",661585,502043,596117,656555,516416,664761,681082,656941,669016,663837,"53.67",,,"0.7",1,0,0,,2,5,"Sinker",0,0,0,0,0,0,0,0,"Standard","Standard",221,"-0.025","0.163"
"FF","2022-09-25","93.7","-2.19","6.32","Harris II, Michael",671739,502043,,"called_strike",,,,,11,"Michael Harris II walks.","R","L","R","PHI","ATL","S",,,3,0,2022,"-0.61","1.21","-0.88","2.6",,,,1,1,"Top",,,,,596117,,,4.772427783572622,-136.36930140765557,-6.63916222431962,-8.563237270509557,27.60398321812338,-15.783828560389457,"3.31","1.48",,,,"94.6",2171,"6.7",661585,502043,596117,656555,516416,664761,681082,656941,669016,663837,"53.85",,,,,,,,2,4,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard",219,"0","-0.052"
"FF","2022-09-25","97.9","-2.17","5.65","Harris II, Michael",671739,622554,,"ball",,,,,1,"Michael Harris II walks.","R","L","R","PHI","ATL","B",,,2,0,2022,"-0.61","1.52","-0.64","3.4",,,,1,9,"Top",,,,,596117,,,5.528106055372719,-142.4984071839964,-4.069526961394551,-9.55979466935419,33.828726923422764,-10.814516433366315,"3.48","1.55",,,,"97.6",2318,"6.2",661585,622554,596117,656555,516416,664761,681082,656941,669016,663837,"54.33",,,,,,,,73,3,"4-Seam Fastball",6,6,6,6,6,6,6,6,"Standard","Standard",220,"0","0.086"
