"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"SL","2022-10-04","89.7","2.79","5.3","Harris II, Michael",671739,656945,,"ball",,,,,13,"Michael Harris II grounds out sharply to first baseman Lewin Diaz.","R","L","L","MIA","ATL","B",,,0,0,2022,"-0.39","0.04","-1.67","2.55",,,,0,8,"Top",,,,,607732,,,-10.156426524301144,-130.24604145383145,-0.8460946363655765,-2.2753064108770116,28.199301546411434,-31.74483628159224,"3.46","1.7",,,,"89.2",2647,"6.1",661423,656945,607732,650331,542932,677954,621563,660821,650559,605119,"54.36",,,,,,,,61,1,"Slider",1,2,2,1,2,1,2,1,"Standard","Standard",256,"0","0.033"
"SL","2022-10-03","85.8","2.29","5.9","Harris II, Michael",671739,666200,"strikeout","swinging_strike",,,,,13,"Michael Harris II strikes out swinging.","R","L","L","MIA","ATL","S",2,,0,2,2022,"-0.04","-0.01","-1.36","1.64",,621020,,0,6,"Top",,,,,663743,,,-8.46668739036121,-124.67673096319749,-3.763974669145335,1.2325120407184904,23.756216810237486,-31.780557083062426,"3.53","1.59",,,,"85.1",2425,"5.8",661424,666200,663743,650331,542932,621563,500743,668709,650559,541645,"54.68",,,"0",1,0,0,,43,3,"Slider",4,0,0,4,0,4,0,4,"Standard","Standard",61,"0.03","-0.281"
"FF","2022-10-03","94.8","2.25","6.14","Harris II, Michael",671739,666200,,"foul",,,,,6,"Michael Harris II strikes out swinging.","R","L","L","MIA","ATL","S",,,0,1,2022,"1.29","1.02","0.58","2.76",,621020,,0,6,"Top",,,,,663743,,,-7.131826715433268,-137.8694360981178,-5.35366920096827,17.98829879660316,31.45686271257749,-18.17439504281555,"3.53","1.59",2,"83.8",-57,"93.4",2053,"5.6",661424,666200,663743,650331,542932,621563,500743,668709,650559,541645,"54.93",,,,,,,,43,2,"4-Seam Fastball",4,0,0,4,0,4,0,4,"Standard","Standard",128,"0","-0.076"
"SL","2022-10-03","81.8","2.35","5.99","Harris II, Michael",671739,666200,,"foul_bunt",,,,,8,"Michael Harris II strikes out swinging.","R","L","L","MIA","ATL","S",,,0,0,2022,"-0.02","0.09","0.21","1.91",,621020,,0,6,"Top",,,,,663743,,,-4.698730778219098,-119.1227007930097,-2.768920183616318,0.7020275613530969,23.620806566887097,-30.943951969341978,"3.53","1.59",1,,,"80.3",2322,"5.3",661424,666200,663743,650331,542932,621563,500743,668709,650559,541645,"55.21",,,,,,,,43,1,"Slider",4,0,0,4,0,4,0,4,"Standard","Standard",32,"0","-0.056"
"CH","2022-10-03","89.4","2.03","6.06","Harris II, Michael",671739,666200,"walk","ball",,,,,13,"Michael Harris II walks.","R","L","L","MIA","ATL","B",,,3,1,2022,"1.34","0.67","-0.3","1.16",,,,0,4,"Top",,,,,663743,,,-8.44429020230981,-129.77923761510542,-7.335036533990167,16.94819760575819,27.508597265314602,-23.22025927704951,"3.58","1.6",,,,"88",1913,"5.6",661424,666200,663743,650331,542932,621563,500743,668709,650559,541645,"54.94",,,"0.7",1,0,0,,28,5,"Changeup",4,0,0,4,0,4,0,4,"Standard","Standard",121,"-0.029","0.245"
"SI","2022-10-03","95.7","2.04","6.1","Harris II, Michael",671739,666200,,"called_strike",,,,,8,"Michael Harris II walks.","R","L","L","MIA","ATL","S",,,3,0,2022,"1.42","1.11","0.17","2.12",,,,0,4,"Top",,,,,663743,,,-7.993407168528767,-138.92655908035852,-7.249111630071645,20.133193158093956,32.02260576681311,-16.38039994002962,"3.56","1.7",,,,"94.2",2135,"5.6",661424,666200,663743,650331,542932,621563,500743,668709,650559,541645,"54.88",,,,,,,,28,4,"Sinker",4,0,0,4,0,4,0,4,"Standard","Standard",136,"0","-0.076"
"SI","2022-10-03","95.3","1.9","6.24","Harris II, Michael",671739,666200,,"ball",,,,,2,"Michael Harris II walks.","R","L","L","MIA","ATL","B",,,2,0,2022,"1.42","0.87","-0.19","3.6",,,,0,4,"Top",,,,,663743,,,-8.54099218650186,-138.48605622484973,-3.1819108457878875,20.144769641707228,31.56623031386169,-20.519413726335262,"3.57","1.66",,,,"93.9",2163,"5.6",661424,666200,663743,650331,542932,621563,500743,668709,650559,541645,"54.91",,,,,,,,28,3,"Sinker",4,0,0,4,0,4,0,4,"Standard","Standard",134,"0","0.134"
"SI","2022-10-03","94","1.99","6.24","Harris II, Michael",671739,666200,,"ball",,,,,12,"Michael Harris II walks.","R","L","L","MIA","ATL","B",,,1,0,2022,"1.38","0.95","1.04","3.15",,,,0,4,"Top",,,,,663743,,,-5.455563385672,-136.77713193388416,-4.350852919063972,18.52488267222116,30.664314269028065,-19.42983985862187,"3.52","1.65",,,,"92.8",2027,"5.6",661424,666200,663743,650331,542932,621563,500743,668709,650559,541645,"54.89",,,,,,,,28,2,"Sinker",4,0,0,4,0,4,0,4,"Standard","Standard",134,"0","0.063"
"SL","2022-10-03","82.2","2.02","5.99","Harris II, Michael",671739,666200,,"ball",,,,,13,"Michael Harris II walks.","R","L","L","MIA","ATL","B",,,0,0,2022,"-0.05","-0.02","-2.1","-0.05",,,,0,4,"Top",,,,,663743,,,-9.098037186967334,-119.31297430513632,-7.071490674564533,1.039528818042116,20.47225994037752,-31.251606406231378,"3.39","1.59",,,,"81.5",2337,"5.7",661424,666200,663743,650331,542932,621563,500743,668709,650559,541645,"54.76",,,,,,,,28,1,"Slider",4,0,0,4,0,4,0,4,"Standard","Standard",3,"0","0.033"
"SL","2022-10-03","85.7","2.12","5.96","Harris II, Michael",671739,666200,"strikeout","swinging_strike_blocked",,,,,13,"Michael Harris II strikes out swinging.","R","L","L","MIA","ATL","S",2,,0,2,2022,"-0.13","0.03","-1.8","0.02",,660670,621020,0,1,"Top",,,,,663743,,,-8.880448146022745,-124.3931660640033,-7.7793477973806056,0.1948546230093621,22.30436924189018,-30.5514553325606,"3.53","1.59",,,,"85",2444,"5.7",661424,666200,663743,650331,542932,621563,500743,668709,650559,541645,"54.76",,,"0",1,0,0,,3,3,"Slider",0,0,0,0,0,0,0,0,"Standard","Standard",350,"0.05","-0.367"
